mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_gamma,param_max_depth,param_min_child_weight,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
1.215399980545044,0.007800054550170898,0.8816247093021891,0.9437892360530494,0.6,0.5,3,1,0.6,"{'subsample': 0.6, 'colsample_bytree': 0.6, 'max_depth': 3, 'gamma': 0.5, 'min_child_weight': 1}",64,0.8962639109697933,0.9417391594173916,0.8854166666666666,0.9393946994398462,0.8637658453211793,0.948487961212918,0.8807766990291263,0.9449916864009674,0.8818181818181818,0.9443326737941238,0.02778924325023405,0.0032496821113839236,0.010478243092730672,0.003076816400192502
1.1546000480651855,0.006199932098388672,0.8830153152032758,0.9459549518818576,0.6,0.5,3,1,0.8,"{'subsample': 0.8, 'colsample_bytree': 0.6, 'max_depth': 3, 'gamma': 0.5, 'min_child_weight': 1}",24,0.90302066772655,0.944709695697097,0.8881682389937107,0.9407825432656132,0.8646204244409629,0.9493590270359109,0.8755987055016181,0.947065887371727,0.8835561497326202,0.9478576060389405,0.07919995182698016,0.000400018706226792,0.01282000332449586,0.002991537130561603
1.0482000350952148,0.0070000171661376955,0.8801452689827322,0.9428719665289366,0.6,0.5,3,1,1.0,"{'subsample': 1.0, 'colsample_bytree': 0.6, 'max_depth': 3, 'gamma': 0.5, 'min_child_weight': 1}",94,0.9029544250132486,0.9436931306869312,0.8826650943396227,0.9405860713987125,0.8577125765560462,0.9445681650094502,0.8720388349514563,0.9429006902806469,0.8852272727272729,0.9426117752689424,0.10178681366738758,0.0012649701770087998,0.014986892950643507,0.0013300557094906458
1.0610000133514403,0.006599998474121094,0.8752866111830628,0.9256510000205109,0.6,0.5,3,5,0.6,"{'subsample': 0.6, 'colsample_bytree': 0.6, 'max_depth': 3, 'gamma': 0.5, 'min_child_weight': 5}",192,0.8897721250662427,0.9253782955037828,0.8750655136268343,0.9217456734386757,0.8567867825096138,0.9297395020133126,0.8781229773462783,0.926894912749198,0.8766042780748663,0.9244966163975857,0.029846228039620056,0.001356473143976305,0.010606137188717746,0.002642790662721622
1.2605999946594237,0.006800031661987305,0.8754592365929559,0.9288408325745621,0.6,0.5,3,5,0.8,"{'subsample': 0.8, 'colsample_bytree': 0.6, 'max_depth': 3, 'gamma': 0.5, 'min_child_weight': 5}",186,0.8885797562268151,0.9280780255307802,0.8785377358490566,0.9248766825516261,0.8592080900156673,0.9338976086777879,0.8766990291262136,0.9297542869619254,0.8741978609625669,0.9275975591506909,0.09103094534419046,0.0009797832855306249,0.009479613781798044,0.0029748099862962674
1.0716000080108643,0.006599998474121094,0.8723074173584416,0.928890650581583,0.6,0.5,3,5,1.0,"{'subsample': 1.0, 'colsample_bytree': 0.6, 'max_depth': 3, 'gamma': 0.5, 'min_child_weight': 5}",262,0.8893746687864336,0.9263115355131154,0.8740828092243187,0.9260555137530307,0.8594217347956132,0.9358862683868847,0.863495145631068,0.9313666213197629,0.8750668449197861,0.9248333139351212,0.11524859696803444,0.0007999420166015626,0.010457309282352919,0.004152611602592009
1.0662000179290771,0.005800008773803711,0.8694755323909329,0.906128668939622,0.6,0.5,3,10,0.6,"{'subsample': 0.6, 'colsample_bytree': 0.6, 'max_depth': 3, 'gamma': 0.5, 'min_child_weight': 10}",324,0.8880498145204028,0.9051094890510949,0.8649764150943395,0.9015968564501295,0.8480273465318331,0.9139411619689375,0.8725566343042072,0.9058631867116775,0.8736631016042782,0.9041326505162695,0.0652207964021443,0.0007483282192290589,0.013063530139682223,0.004163308054370181
1.1154000282287597,0.006199979782104492,0.8730384070408252,0.9143157757353532,0.6,0.5,3,10,0.8,"{'subsample': 0.8, 'colsample_bytree': 0.6, 'max_depth': 3, 'gamma': 0.5, 'min_child_weight': 10}",243,0.8954689984101749,0.9134086591340865,0.8666797693920335,0.9117465094891732,0.8536533257370744,0.9200098611225245,0.8755339805825242,0.913219462219311,0.8737299465240642,0.9131943867116704,0.1069478908472373,0.000748353705076902,0.013622299826174068,0.0029088146945566553
1.2281999588012695,0.006400012969970703,0.8711163903358926,0.9160456726677273,0.6,0.5,3,10,1.0,"{'subsample': 1.0, 'colsample_bytree': 0.6, 'max_depth': 3, 'gamma': 0.5, 'min_child_weight': 10}",288,0.8954027556968733,0.9146668666466687,0.8618317610062893,0.913715408410668,0.8582822959692352,0.9207124661023913,0.8666666666666667,0.9179724895450194,0.8732620320855615,0.9131611326338891,0.037392019318078396,0.0010198235104192112,0.013171853425161575,0.002868567342723254
1.286800003051758,0.008599996566772461,0.8822626493035872,0.9612132301212796,0.6,0.5,4,1,0.6,"{'subsample': 0.6, 'colsample_bytree': 0.6, 'max_depth': 4, 'gamma': 0.5, 'min_child_weight': 1}",43,0.8999735029146794,0.9574792520747926,0.8879061844863732,0.9582225566424212,0.8646204244409628,0.9645205029172487,0.8809061488673139,0.9618372214104567,0.877807486631016,0.9640066175614784,0.09113379759976982,0.0020591666738974377,0.011657266137108147,0.002898867081319211
